,name,Name_Matched
120,Dmitriy Zheleznyakov,Q117232531
123,Florian Haag,Q102301578
124,Saverio Ieva,Q98904417
130,Gerben Klaas Dirk de Vries,Q56490387
134,Fanghuai Hu,Q96249481
143,Mihael Arcan,Q61094611
156,Zhijia Fang,Q87176042
162,Benedikt Kämpgen,Q65014810
171,Erdal Kuzey,Q67234312
176,Rob Brennan,Q57776370
1,Andreas Dengel,Q87773675
11,M. Tamer Özsu,Q58352889
15,Wendy Hall,Q11626
17,Norman William Paton,Q14492070
18,Ricardo Usbeck,Q67207397
25,Esteban Zimányi,Q54856312
44,Cássia Trojahn,Q106815055
47,Gerard de Melo,Q21057281
50,Meghyn Bienvenu,Q28778520
54,Guozheng Rao,Q92185329
58,Alvaro A. A. Fernandes,Q107269499
60,George Drosatos,Q58075889
62,Cristina Feier,Q57193300
68,Dilshod Ibragimov,Q54856241
75,Giancarlo Guizzardi,Q44479911
76,Anika Groß,Q102429981
83,Zhiyong Feng,Q89860418
89,Josiane Xavier Parreira,Q95951776
112,Allan Third,Q84221131
113,George Gkotsis,Q125315434
116,Stefanos Roumeliotis,Q88219388
121,Zlatan Dragisic,Q106531652
136,Wu Wenrui,Q65850287
138,Linhong Zhu,Q102377881
1,Renée Miller,Q14095
2,Nigam H. Shah,Q57194114
4,Tom Narock,Q58117445
9,Ricardo Usbeck,Q67207397
18,Shih-Fu Chang,Q37203066
38,Ansgar Scherp,Q57955148
43,Feng Gao,Q57853882
44,Kerstin Lehnert,Q57079972
45,Juan M. Banda,Q48975677
50,Rik Van de Walle,Q41900756
52,Peter Edwards,Q59587229
56,Kody Moodley,Q59418334
57,Mark P. Schildhauer,Q47502211
67,Ivan José Varzinczak,Q102412389
75,Thomas Andreas Meyer,Q102247313
86,Naomi Ono,Q11464212
90,David Corsar,Q58198207
101,Jakub Kozák,Q124624979
107,Jay Banerjee,Q97428683
117,Johanna M Harrison,Q87955957
123,Patrik Schneider,Q113716515
126,Hallstein Lie,Q117232537
134,Suzanne M. Carbotte,Q107538720
136,Douglas Fils,Q57221355
138,Matthew B. Jones,Q56505768
140,Audrey Mickle,Q57221342
143,Adam Shepherd,Q57221368
145,Laurens Rietveld,Q110891873
147,Steffen Lamparter,Q64729144
153,Yin Chengye,Q65902188
159,Steven Minton,Q98506438
167,Gaurav Vaidya,Q54698984
168,Magnus Knuth,Q30342960
17,João Alexandre Leite,Q62050534
18,Renate Schmidt,Q64360405
22,Gavin Brown,Q63367240
26,Matthias Knorr,Q62036824
39,Chandra Bhagavatula,Q124631912
53,Lisette Espín-Noboa,Q93165680
55,Michael Krauthammer,Q61772027
62,Besnik Fetahu,Q33292049
63,Melanie Herschel,Q21264396
65,Hector Levesque,Q5696759
76,Kemele M. Endris,Q107285197
92,Laurens De Vocht,Q59914692
98,Evgenij Thorstensen,Q102414016
111,Evangelia Daskalaki,Q56084670
118,Yong-Bin Kang,Q59676954
123,Christine Chichester,Q19845665
129,Kunal Sengupta,Q102440228
7,Anh Le-Tuan,Q95305423
8,Gregor Schiele,Q115466504
19,Ioannis (Yiannis) Kompatsiaris,Q57762477
27,Isabelle Augenstein,Q30338957
32,Erik Champion,Q112201375
39,Georgios Meditskos,Q63244913
40,Lexing Xie,Q64834327
41,Efstratios Kontopoulos,Q58177613
45,Robert-Jan Sips,Q59163365
47,Sébastien Ferré,Q59601847
72,Emanuel Santos,Q30513969
73,Francisco M. Couto,Q41049168
77,Michele Nori,Q115059277
80,Jonathan D Mortensen,Q89312724
84,Francisco Martin-Recuerda,Q119480830
88,John Robert Warren,Q88969266
98,Thorsten Liebig,Q93030157
103,Anca Dumitrache,Q63844394
110,Maximilian Nickel,Q30525004
116,Giuseppe Liguori,Q104831068
126,Veli Biçer,Q65013303
15,Robert David Stevens,Q7343410
20,Ahmet Soylu,Q102418379
22,Steve Pettifer,Q15429595
35,Jan Wielemaker,Q26702940
37,Syed Sibte Raza Abidi,Q90315079
39,Michael Granitzer,Q58313433
40,Antony John Williams,Q4777220
43,Andra Waagmeester,Q19845625
52,Paolo Merialdo,Q57573624
54,Louiqa Raschid,Q57515849
57,James Cheney,Q18618592
58,Eduardo Veas,Q83610204
60,Helena F. Deus,Q54303346
61,Konstantinos Tarabanis,Q59764701
66,Antonis Loizou,Q34573815
67,Anna Gaulton,Q28946674
68,John P. Overington,Q30104439
69,Ian Dunlop,Q55473226
71,Colin Batchelor,Q28923515
72,Georg Lausen,Q63272056
74,Patrick Hoefler,Q57431022
99,Andrea Christina Unger,Q102391491
100,Günes Aluç,Q102646051
105,Matthias van Rossum,Q112525019
108,Fredo Erxleben,Q56585786
135,Daniela Digles,Q19845608
138,Jon Steele,Q3085715
139,Valery Tkachenko,Q28925903
140,Valter Crescenzi,Q102314377
141,Disheng Qiu,Q102929485
167,Christopher Brewster,Q56447922
2,Themis Palpanas,Q28806974
4,Luca Foschini,Q52664654
5,Grant McKenzie,Q56937383
8,Antonio Corradi,Q57312264
18,Giovanni Semeraro,Q57944866
19,Jun Zhao,Q54303120
41,Stuart Owen,Q55473205
42,Jacky L Snoep,Q45959692
43,Martin Brümmer,Q57585180
46,Mark N. Gahegan,Q117304909
57,Stefan Senger,Q19845653
59,Wolfgang Müller,Q89133458
60,Esteban García-Cuesta,Q83227073
63,Graham Klyne,Q56448123
70,Michael Schuhmacher,Q428210
78,Pierre-Yves Vandenbussche,Q64826702
80,Mikalai Tsytsarau,Q117308231
84,Albert Haque,Q96577547
85,Felix Leif Keppmann,Q65380861
97,Aleix Garrido,Q116872826
104,Yves Raimond,Q93365336
108,Dominique Ritze,Q68635765
113,Olga Krebs,Q57058817
117,Hannes Mühleisen,Q111338024
126,Tom De Nies,Q115013243
127,Christoph Pinkel,Q117232535
128,Csongor Nyulas,Q77372488
129,Joao Ricardo Nickenig Vissoci,Q90075919
130,Cinzia Daraio,Q41798618
131,Ricardo Pietrobon,Q56604697
48,V. S. Subrahmanian,Q102130437
53,Roberto Navigli,Q36486151
55,Guido Governatori,Q58041904
57,Samantha Bail,Q81296304
60,Margaret-Anne Storey,Q51060321
64,Thomas Schneider,Q100395679
65,Paul Mulholland,Q96435625
75,William W. Cohen,Q28018483
76,Frank Wolter,Q102123504
79,Lise Getoor,Q15995094
81,Hans Uszkoreit,Q5650791
84,Andreas Schwarte,Q63864259
96,Antonino Rotolo,Q112460288
97,Sven Schewe,Q102392183
117,Alberto Lavelli,Q91847364
124,Andriy Nikolov,Q106823378
127,Rave Harpaz,Q102306877
128,Patricia L Whetzel,Q106475699
136,Alessandro Margara,Q110659191
141,Rongfang Bie,Q67242772
147,Sambhawa Priya,Q116773087
150,Yongtao Ma,Q65178155
167,Alexander Kirillovich,Q103340063
168,Vladimir Nevzorov,Q2066258
173,Hoan Nguyen Mau Quoc,Q90633032
179,Michele Catasta,Q52221632
5,Viktor K. Prasanna,Q21033172
12,Thomas Eiter,Q62559769
15,Pol Mac Aonghusa,Q96608997
16,Giovanni Grasso,Q60656061
17,Pablo Mendes,Q56441037
21,Aris Gkoulalas-Divanis,Q51061734
25,Sebastian Tramp,Q118773415
32,Michael Hausenblas,Q57637670
33,Yogesh Simmhan,Q57235720
48,Valérie Issarny,Q105409476
64,Christian Schallhart,Q102341783
74,Bert Van Nuffelen,Q102413764
78,Shashank Tyagi,Q88501281
83,Thorsten Krüger,Q19960204
85,Alan Eckhardt,Q102426951
87,Chris Mellish,Q83542534
93,Andrew Jon Sellers,Q102409027
98,Sara Magliacane,Q113955057
102,Chen Daoming,Q717442
104,Alexey Boyarsky,Q114422210
112,Steffen Stadtmüller,Q65356106
123,Michael Watzke,Q56887561
133,Giulia Masotti,Q80112900
135,Feroz Farazi,Q92042395
144,J. William Murdock,Q102259550
145,Aditya Kalyanpur,Q4683075
14,Annika Hinze,Q42728899
15,Carlos Viegas Damásio,Q57775604
26,Adrian Paschke,Q63244921
44,Jean Christoph Jung,Q104507235
60,Anastasia Analyti,Q88712412
69,Qiang Yang,Q15063504
78,Francesco Draicchio,Q106604024
93,Szymon Klarman,Q102440319
96,Ralf Heese,Q57631817
99,Ilianna Kollia,Q102427166
101,Manos Karpathiotakis,Q114456434
113,Andrea Maurino,Q54852709
116,Trond Aalberg,Q56570114
119,Marcel Karnstedt,Q99228770
120,Milan Dojchinovski,Q111254418
122,Tomáš Vitvar,Q112428158
123,Maciej Zaremba,Q920044
125,Anastasios Kementsietsidis,Q102165599
7,Seppo Pohjolainen,Q59476226
14,Alex Pentland,Q4717615
17,Timothy Lebo,Q56876109
27,Saeedeh Shekarpour,Q105084920
30,Karuna Panda Joshi,Q102406191
31,Qing Liu,Q124985057
34,Siegfried Handschuh,Q64851946
37,Andreas Abecker,Q64825242
41,Matteo Gerosa,Q86216857
49,Steven P Wilder,Q30503485
57,Eero Hyvönen,Q56331940
71,Zheng Jinguang,Q65900134
72,Linyun Fu,Q102664400
81,Federica Rizzoli,Q114443608
82,Anna Rovella,Q95114818
85,Sandra R Villamizar,Q87045894
86,Thomas C Harmon,Q92985371
90,Andreas Zankl,Q56509613
92,Giacomo Ghezzi,Q64778418
93,Michael Würsch,Q124415364
97,Alexandre Passant,Q56477723
98,Ivo Lasek,Q102434343
100,Jaakko Aukusti,Q57943902
101,Ossi Nykänen,Q102312714
103,Juha Nurmi,Q11867395
108,Kari Koskinen,Q113170491
4,Patrice Ossona de Mendez,Q21055200
28,Brian Matthews,Q56998935
29,Bettina Berendt,Q48564674
31,Maurizio Vincini,Q58300868
32,Francesco Guerra,Q58300890
35,Simon Buckingham Shum,Q58585858
36,Sonia Bergamaschi,Q58339477
39,Dejing Dou,Q95625407
49,Richard Waldinger,Q7329766
54,Bernd Amann,Q102363021
58,Liu Gangmin,Q97602851
62,Catriel Beeri,Q102077864
64,Michel Olivier Scholl,Q102271546
69,Dan Brickley,Q56641640
82,Markus Zanker,Q62058481
83,Marek Hatala,Q123412433
92,Francesco Taglino,Q120907206
95,Julien Tane,Q64852125
105,Pierre Rosenstiehl,Q3386861
132,Gopal Gupta,Q50082811
135,Deborah Richards,Q57303245
137,Bernard Gibaud,Q56512623
172,Kirk Martinez,Q6415488
175,Liming Chen,Q88454063
179,Olivier Dameron,Q88784441
180,Mauro Gaspari,Q103812141
183,Hank Levy,Q5648390
186,Stefano Bocconi,Q83545723
187,Kouji Kozaki,Q59704986
191,Rakesh Agrawal,Q18683833
195,Pedro Domingos,Q21066874
196,Miriam R. L. Petruck,Q99960843
198,Gustaf Neumann,Q18624842
199,Ljiljana Stojanović,Q64851864
208,Boualem Benatallah,Q112394267
211,I. V. Ramakrishnan,Q112482354
217,Paul H. Lewis,Q7151068
220,Simon Goodall,Q96186706
223,Alison Stevenson,Q124419825
229,Mohand Saïd Hacid,Q112393448
231,Farouk Toumani,Q121809935
232,Zaviša Bjelogrlić,Q114307514
233,Dirk-Willem van Gulik,Q5280782
250,Kōji Kamei,Q121355284
258,Nick Giles,Q20676751
273,Hongsuda Tangmunarunkit,Q102326242
276,Niranjan Suri,Q112374573
278,Zhen-Jie Wang,Q91197314
279,Sheng Huanye,Q112416307
284,Frank R. Martin,Q22670622
303,William Clement Regli,Q102291689
304,Fereidoon Sadri,Q102265119
308,Oge Marques,Q96054310
311,Yannis Labrou,Q102392759
320,Guizhen Yang,Q102264042
323,Charles J. Fillmore,Q1065000
327,Yoshinobu Kitamura,Q11401961
329,Michael Uschold,Q15429177
337,Mark D. Wilkinson,Q37392357
352,Ramanathan V. Guha,Q3929838
385,Austin Tate,Q15994776
392,Duncan Hull,Q47012855
393,Ikki Ōmukai,Q11433359
398,Hideaki Takeda,Q57886243
401,Suzanne Little,Q92162779
406,Alun Preece,Q59305726
407,David Walker,Q106629559
409,Lincoln Stein,Q6551037
414,Bradley Bebee,Q110720944
415,Richard Fikes,Q7325676
421,Boi Faltings,Q60735386
441,Bryan B. Thompson,Q124856586
446,Robert McCool,Q3435889
458,Daniel C. Berrios,Q110610825
471,Aleksander Pivk,Q114318739
478,Paolo Traverso,Q60788254
480,Chris Wroe,Q58895008
483,Tim Van Pelt,Q23153502
484,Ronald Ashri,Q102292645
531,Shin Adachi,Q11637024
534,Sandy Lau,Q7255802
536,Александр Всеволодович Рязанов,Q4402579
569,Andy Brass,Q15994326
595,Gerd Wagner,Q102724796
607,Vadim Ermolayev,Q58198021
608,Robert Baumgartner,Q86399946
612,Olga De Troyer,Q98665590
613,Paolo Avesani,Q96127821
620,Simon Miles,Q57062956
621,Arash Shaban-Nejad,Q47493775
631,Alfred Spector,Q4723459
632,Thierry Moyaux,Q102313722
640,Alexander Löser,Q102438145
648,Volker Haarslev,Q112354708
667,Steven A. Battle,Q67323521
669,Stuart K Williams,Q89313995
672,Raúl Palma,Q7299821
683,Matthias Kriesell,Q102178827
685,Daniele Turi,Q102440932
705,Ralph Hodgson,Q1858252
716,Daniel Weitzner,Q20675764
717,Christopher J. O. Baker,Q59389381
724,Pranam Kolari,Q102392771
727,Amit Goswami,Q472362
735,Marco Cammisa,Q39713375
741,Sumit Mittal,Q96141332
742,Zdeněk Zdráhal,Q112389269
764,Yarden Katz,Q102434725
770,Mercedes Blazquez,Q73447071
772,Ivan Martos,Q1335371
809,Dirk Vermeir,Q102247526
810,Tsz-Chiu Au,Q102413132
814,Antoon Goderis,Q108901345
815,Cornelis J. van Aart,Q102359165
821,Raúl García Castro,Q57415398
825,Tonya Hongsermeier,Q125194248
834,Toru Ishida,Q57063701
837,Simon Harper,Q37841254
876,Luc Steels,Q2090838
904,Wu Zhaohui,Q19849356
907,Mike Cafarella,Q6846221
915,Suzanne Embury,Q63350896
916,M Omair Shafiq,Q99406754
921,Norberto Fernández,Q102051814
922,Luis Sanchez-Fernandez,Q58140612
923,Göran Falkman,Q57963156
932,Tom Gruber,Q7816025
934,Jane Fountain,Q6152228
951,Jesus Arias Fisteus,Q102304180
978,Tom Gardiner,Q7815899
981,Klaas Dellschaft,Q116182999
997,Mikey Nicholls,Q11339558
1028,Marco de Niet,Q15734253
1033,Melanie Aurnhammer,Q102308374
1042,Weisen Guo,Q59529917
1061,Malte Kiesel,Q102967899
1102,Yū Miyoshi,Q106994247
1119,David Ferrucci,Q16728975
1128,Ovunc Ozturk,Q87394780
1132,Loredana Laera,Q102429040
1141,Francesco M Donini,Q57445339
1146,Markus Stocker,Q56755378
1151,Osma Suominen,Q59247691
1157,Jörg Hoffmann,Q102352888
1177,Christoph Meinel,Q92706
1187,Horacio Saggion,Q62057766
1194,Fernando Bobillo Ortega,Q50432370
1200,Juan Gómez Romero,Q57446055
1209,Tuukka Ruotsalo,Q57954011
1214,Katharina Siorpaes,Q64526593
1218,Dave Robertson,Q110362154
1245,Ondřej Šváb,Q111577762
1246,Lloyd Rutledge,Q114568803
1254,Huang Xuanjing,Q45727815
1256,Zachary Ives,Q57239897
1272,Miroslav Vacura,Q120578219
1289,Peter Gorgel,Q95821893
1302,Chintan Patel,Q116852098
1330,Katharina Reinecke,Q123282983
1340,Sylvie Despres,Q98230261
1351,Gianluca Troiani,Q57303186
1357,František Mička,Q51841610
1362,Gijs Geleijnse,Q104565133
1363,Jan H. M. Korst,Q102230824
1367,Hong-Gee Kim,Q89665086
1370,Stephan Bloehdorn,Q64966414
1388,Chutiporn Anutariya,Q112390191
1389,Vilas Wuwongse,Q68544068
1409,Jos de Bruijne,Q111853618
1418,Viktoria Pammer,Q57302344
1419,Cynthia S. Parr,Q41566514
1420,Padhraic Smyth,Q28033811
1447,Fulvio Corno,Q57443031
1455,Lars Schmidt-Thieme,Q59857743
1459,Timos Sellis,Q57936540
1470,Krisztian Buza,Q59875460
1477,Nick Bassiliades,Q58177264
1482,Richard Mcclatchey,Q55057664
1497,Dimitris Sacharidis,Q106593829
1533,Ronald Denaux,Q63284074
1535,Catherine Dolbear,Q112477077
1542,Faezeh Ensan,Q102302942
1543,Weichang Du,Q102251307
1547,Tamás Hauer,Q102344681
1552,Alexey Tsymbal,Q102484780
1563,Kevin William Shank,Q75940690
1566,Nicolas Sabouret,Q123097911
1567,Nicholas Griffith,Q53222227
1577,Nicholas Del Rio,Q102406922
1581,Rogier Brussee,Q102216550
1598,Dario Bonino,Q59185706
1601,Mark Steyvers,Q61821952
1602,Colm Conroy,Q102442255
1607,Feng Yuzhang,Q45663012
1610,Glenda Kelly,Q110992395
1611,Lushan Han,Q102421320
1628,Philipp Sorg,Q64852404
1643,Paolo Tonella,Q57302295
1645,Tiziana Margaria,Q56643867
1648,Bernhard Steffen,Q15699902
1652,Franz Baader,Q92729
1653,Mohamed Medhat Gaber,Q46862308
1655,Dragan Gasevic,Q53567967
1656,Tom M. Mitchell,Q7816669
1661,John G. Breslin,Q6223085
1682,Thomas Krennwallner,Q57413170
1689,Andrea Pugliese,Q59193469
1706,Timothy W. Clark,Q30743874
1709,Martin Gaedke,Q61161287
1711,Zhe Wang,Q57193289
1715,Gianluca Correndo,Q80550003
1721,Malte Isberner,Q59393686
1723,Wolfram Wöß,Q23060378
1724,Ulf Leser,Q102432166
1728,David E. Millard,Q67215322
1732,Giovambattista Ianni,Q102406368
1734,Daniela Petrelli,Q120585299
1737,Roland Stühmer,Q65178172
1748,Hugo Zaragoza,Q67399480
1761,Jan Pieper,Q50894518
1762,Christine Robson,Q102399942
1763,Зоран Јеремић,Q25461177
1784,Alessandra Martello,Q102412799
1794,Dirk Kramer,Q9207720
1828,Martin Knechtel,Q102370643
1829,Terrance L. Swift,Q102355265
1838,Kay-Uwe Schmidt,Q65013097
1846,Sergey Sizov,Q15079283
1847,Anna Averbakh,Q102435347
1852,Aba-Sah Dadzie,Q63434873
1853,Nova Spivack,Q7064323
1857,Johann Christoph Freytag,Q102343106
1880,Bouke Huurnink,Q102425975
1887,Umberto Straccia,Q57976810
1903,Pat Hayes,Q7143532
1912,Jan Hidders,Q57062132
1925,Nick Jennings,Q15994542
1930,Leslie Carr,Q15266945
1931,David Laniado,Q28946764
1948,Fernando Silva Parreiras,Q57443404
1995,Henry S. Thompson,Q2661474
1996,Hans-Jörg Happel,Q65380667
2004,Paea LePendu,Q109720638
2020,Marco Faella,Q112232210
2026,Joshua Shinavier,Q103363664
2031,Mudhakar Srivatsa,Q102345360
2064,Tobias Kowatsch,Q88202589
2065,Marc Cuggia,Q61467267
2070,Matt-Mouley Bouamrane,Q89297282
2071,Guo-Qiang Zhang,Q59299209
2074,Harold Solbrig,Q44607574
2077,Bert Bredeweg,Q102358805
2097,Sabine Janzen,Q103293919
2101,Jiao Tao,Q102395761
2105,Elena Beisswanger,Q114398473
2106,Daṿid Ben-Daṿid,Q16129906
2118,Ulf Morgenstern,Q24952515
2119,Jochem Liem,Q117222808
2120,Esther Lozano,Q86555040
2125,Wei-Qi Wei,Q88200509
2126,Christopher G. Chute,Q5112376
2129,Olivier Bodenreider,Q51753485
2136,Samir Khuller,Q16730824
2181,George Papadakis,Q86065954
2191,Andreas Thor,Q89258719
2198,Harris T Lin,Q57350656
2208,ilknur Celik,Q57479885
2210,Serge Abiteboul,Q3479163
2212,Barna Saha,Q76877611
2215,Michael Grüninger,Q15429296
2252,Alice Hermann,Q1035567
2257,Ricardo Kawase,Q109605454
2258,Neeraj Koul,Q102372056
2270,Gregory Todd Williams,Q103363648
2280,František Simančík,Q112400910
2285,Desiree Daniels,Q116473083
2296,David Gross-Amblard,Q102613347
4,Thies Pfeiffer,Q60984124
11,Alvaro Graves,Q61552381
39,José Júlio Alferes,Q62050533
45,Virginia Dignum,Q59587250
49,Iryna Gurevych,Q21262416
56,Stefan Kopp,Q60168177
61,Erik M van Mulligen,Q37611901
68,Stefan Schulz,Q88393355
69,John Hosking,Q102439305
71,Daniel Rubin,Q59755648
79,Sibel Adalı,Q67497540
81,Shashi Shekhar,Q28950235
82,Kaarel Kaljurand,Q110963302
83,Torsten Zesch,Q60417391
94,Luigi Iannone,Q95349747
111,Gautier Poupeau,Q41332476
112,Emmanuelle Bermès,Q42303200
132,Paul Doran,Q7150323
151,Felix Kratzer,Q95899609
158,Huib Aldewereld,Q102357134
228,Christian Jacquemin,Q99461822
229,Frédéric Vernier,Q102437295
248,Carlos Ruíz-Moreno,Q92409810
254,Daniel Oberle,Q64729142
262,Neda Alipanah,Q112945553
263,Kōtarō Nakayama,Q11364216
281,Sara Cohen,Q102311695
282,Dunja Mladenić,Q60682683
286,Ralf Steinmetz,Q1469375
298,David De Roure,Q5232894
299,Nigel Shadbolt,Q7032634
309,Stefan Schulte,Q58196275
311,Olga Ximena Giraldo,Q61793970
318,Christian Becker,Q61267981
319,Kevin Page,Q59998471
330,Sebastian Schaffert,Q15428819
333,Pericles A. Mitkas,Q57655724
334,Reynold Xin,Q26703258
345,Nicholas Gibbins,Q59542599
346,Mathias Niepert,Q102361419
361,Daniela Inclezan,Q102405286
382,Zhipeng Peng,Q94505777
399,Kaifeng Xu,Q89090034
410,Matthias Assel,Q30650732
441,Tadej Štajner,Q114318701
448,Finn Bacall,Q117275099
455,William Hogan,Q56590169
463,Michael Sioutis,Q58386991
483,Joaquin Gabarro Valles,Q77860036
497,Dimitrios Michail,Q102311480
525,Mathias Brochhausen,Q57161944
540,Joey Benik,Q106623456
548,Kazuhiko Ohe,Q89131091
566,Davy Van Deursen,Q59914638
581,Kathryn Dunn,Q107560796
586,Trevor Collins,Q104006906
606,Arkady Zaslavsky,Q91965561
614,Sara Tonelli,Q116436052
615,Dat Quoc Nguyen,Q55571930
616,Antske Fokkens,Q57570279
636,Christin Seifert,Q57170280
641,David L Buckeridge,Q57153402
668,Steven Lynden,Q57226373
672,David W. Lamb,Q55071605
699,Greg Falzon,Q89260111
713,Alessandra Sala,Q95409241
715,Carsten Binnig,Q117232543
717,Haixun Wang,Q102249443
723,Rachele Sprugnoli,Q116647161
736,Dimitrios Georgakopoulos,Q86876203
756,Hassan Aït Kaci,Q102175679
758,Siaw-Teng Liaw,Q86929138
772,Aketo Nakamura,Q6579271
780,Christoph Einsiedler,Q95766455
789,Chin-Wan Chung,Q102440475
796,Weijia Shen,Q96126250
802,Thomas Erickson,Q112494877
825,Marat Charlaganov,Q82441318
835,Yang Fengyu,Q65910795
838,Brendan Ashby,Q16146179
876,Weerapat Onsa-ard,Q123553134
887,Maxime Lavigne,Q92150100
889,Luke Mondor,Q98285771
891,Aparna Nagarajan,Q81810007
893,Karthik Prasad,Q90902484
904,Brett Cooke,Q123279394
905,Mark P Molloy,Q61160848
911,Paolo Bottoni,Q111802353
916,Kai-Uwe Sattler,Q29315405
949,Stefano Cresci,Q61093886
961,Yulan He,Q60636523
967,Raffaele Perego,Q58994395
980,Salvatore Orlando,Q56513292
983,Gemma Webster,Q57422518
985,Andrea G. B. Tettamanzi,Q58411893
986,Guillaume Blin,Q59189720
990,Thomas Risse,Q58288624
991,A Min Tjoa,Q58034488
992,Arnaud Droit,Q86783080
1005,Arno Scharl,Q57303210
1009,Fabio Rinaldi,Q27689128
1013,Juan Antonio Lossio-Ventura,Q61126905
1018,Andrea Marchetti,Q58167265
1024,Nikos Bikakis,Q81616520
1027,Alessandro Adamou,Q57303174
1028,Carlos A. Iglesias,Q56737722
1029,Evangelos Kalampokis,Q59764695
1032,Simon Brown,Q58027794
1033,Xavier Serra,Q8043306
1034,Maurizio Tesconi,Q58167124
1035,Mohsen Kahani,Q96183646
1039,Lars Borin,Q70222618
1044,Chrisa Tsinaraki,Q58428292
1058,Claudio Lucchese,Q84444765
1066,Enrico Malizia,Q62036706
1067,Tomas Ward,Q60571546
1070,Alison Callahan,Q37612513
1075,Angelica Lo Duca,Q83722226
1085,Tore Risch,Q114615220
1097,Brigitte Mathiak,Q102350328
1106,Ashraf Aboulnaga,Q102265430
1123,Yannis Velegrakis,Q102165600
1131,Georgios Theodoropoulos,Q70282460
1153,Youngsik Kim,Q87998884
1166,Stéphane Campinas,Q117076049
1170,Nguyen Hai H,Q96765082
1177,Nguyễn Ngọc Tư,Q130429
1197,Weiguo Xia,Q102422885
1200,Xueming He,Q92487780
1201,Cornelia Hedeler,Q107269370
1210,Peter Ansell,Q61656179
1211,Vincent Emonet,Q59477469
1212,Francois Belleau,Q96971714
1214,Helen Barlow,Q75335774
1218,Andreas Lommatzsch,Q102550221
1224,Jan Kallenbach,Q3161686
1233,Leander Seige,Q95351937
1237,Juan Fernando Sanchez Rada,Q88633833
1244,Alessandro Solimando,Q64360851
1264,Zachary P. Fry,Q103275072
1271,Fattane Zarrinkalam,Q103008560
1278,Francesco Cecconi,Q30111761
1288,Salvatore Trani,Q109777853
1311,Enache Ramona,Q102460028
1313,Andrea D'Errico,Q41083162
1333,Carlo Tasso,Q87683650
1347,Maria Zotou,Q105719111
1349,Efthimios Tambouris,Q59764706
1356,José Maria Monteiro,Q10309959
1426,Rathachai Chawuthai,Q120486070
1450,Maria C Cavalcanti,Q58909155
1459,Felix Naumann,Q55195307
1478,Dino Ienco,Q57238384
1483,Dean B. Krafft,Q102257861
1512,Andreas Nürnberger,Q58311759
1517,Tatsuya Kushida,Q59684199
1568,Carlo Antonio Zaniolo,Q102249387
1593,Huda Khan,Q93026969
1597,Arthur DeGaetano,Q107468710
1620,Souripriya Das,Q102249172
1633,Maria Chatzimina,Q102396697
1634,Heleni Kazantzaki,Q44477349
1638,Sangjin Shin,Q93033869
1656,Jian'gang Zhu,Q113794591
1688,Nicoleta Preda,Q91970384
1708,Holly J Ferguson,Q92335234
1726,Patrice Seyed,Q102392537
1735,Yasar Khan,Q58043656
1738,Ratnesh Sahay,Q112185041
1743,Alexey Morozov,Q61103806
1782,Paul Gault,Q122854585
1807,Mehmet Aydar,Q88680761
1808,Austin Melton,Q102162750
1815,Sa-Kwang Song,Q98771988
1822,Rodolphe Bailly,Q93057462
1838,Xuelu Chen,Q87867795
1839,Primal Pappachan,Q111394607
1853,Jan Mendling,Q57312382
1854,Quan Z. Sheng,Q58959130
1884,Dhavalkumar Thakker,Q60023516
1935,Atsuko Yamaguchi,Q54302736
1936,Femke De Backere,Q57954996
1937,Andrea Splendiani,Q58894015
1962,Amna Basharat,Q96235472
1967,Pieter Simoens,Q91191147
1968,Shirley A Elprama,Q92874166
1969,Peter Mechant,Q56928366
2053,Henning Agt-Rickauer,Q103352640
2078,Charlotte Jewell,Q119548002
2087,Roger Nkambou,Q112433163
2093,Mathias Van Compernolle,Q120485732
2101,Alexandre Monnin,Q110636152
2129,Mikako Saito,Q89816193
2141,Fernando Serena,Q3742965
2155,Yu Sugawara,Q65280899
2156,Ryota Nishimura,Q120681422
2164,Hiroshi Umemoto,Q11538490
2177,Denis Parra,Q88359398
2183,Peter Woollard,Q57414271
2187,Erfan Younesi,Q59662688
2195,Sungmin Joo,Q98718736
2199,Tomokazu Yoshida,Q3274681
2206,Satoshi Kume,Q125201237
2208,Yosky Kataoka,Q94523128
2229,Corentin Jouault,Q113455965
2267,Christoph G. Schuetz,Q87800528
2278,Rima Türker,Q64362977
2362,Filip Pattyn,Q37392281
2369,Volker Gruhn,Q17326829
2386,Michael Schrefl,Q87800533
2395,Shari Trewin,Q58042601
2396,Kathleen M. Jagodnik,Q114581426
2398,Misael Mongiovì,Q51703717
2418,Martin Becker,Q97905093
2421,Rafael C. Jimenez,Q42739778
2429,Loris Bozzato,Q113512530
2430,Ilias Tachmazidis,Q58198220
2431,Sotirios Batsakis,Q62036542
2437,Paul Avillach,Q88894299
2438,Yanlei Diao,Q102293818
2439,Elias Kärle,Q102108753
2445,Noorani Bakerally,Q102388732
2455,Damian Borth,Q102967875
2473,Thomas Niebler,Q103146215
2477,Renhai Chen,Q102799463
2522,Florian Jakobs,Q91928937
2523,Yordan Terziev,Q20641555
2527,Alexander Brinkmann,Q94026560
2538,Alfredo Alba,Q5667475
2564,Konrad Diwold,Q102394354
2570,Benjamin P. Klotz,Q102475159
2596,Stefan Elmer,Q60669880
2601,Thomas Stauss,Q95302996
